"id","active","factor_inv","create_uid/id","create_date","write_uid/id","write_date","factor","rounding","uom_type","name","category_id/id"
"__export__.product_uom_33","True","6.0","__export__.res_users_4","2011-12-11 16:40:15","__export__.res_users_25","2014-09-02 19:07:12","0.166666666667","0.01","Bigger than the reference Unit of Measure","pkg, 6","product.product_uom_categ_unit"
"__export__.product_uom_39","True","59.9988","__export__.res_users_4","2011-12-20 11:49:50","__export__.res_users_4","2011-12-20 11:50:25","0.0166670000067","0.01","Bigger than the reference Unit of Measure","pkg, 60","product.product_uom_categ_unit"
"__export__.product_uom_17","True","7.0","base.user_admin","2011-11-23 15:03:48","__export__.res_users_4","2011-12-11 16:40:22","0.142857142857","0.01","Bigger than the reference Unit of Measure","pkg, 7","product.product_uom_categ_unit"
"__export__.product_uom_45","True","71.9994","__export__.res_users_4","2012-03-05 09:47:51","__export__.res_users_4","2012-03-05 09:50:29","0.0138890046306","0.01","Bigger than the reference Unit of Measure","pkg, 72","product.product_uom_categ_unit"
"__export__.product_uom_29","True","719.9424","__export__.res_users_4","2011-12-11 15:46:54","__export__.res_users_4","2011-12-11 16:12:58","0.00138900000889","0.01","Bigger than the reference Unit of Measure","pkg, 720","product.product_uom_categ_unit"
"__export__.product_uom_42","True","8.0","__export__.res_users_4","2011-12-27 10:22:05","__export__.res_users_4","2011-12-27 10:22:13","0.125","0.01","Bigger than the reference Unit of Measure","pkg, 8","product.product_uom_categ_unit"
"__export__.product_uom_49","True","80.0","__export__.res_users_11","2012-08-10 15:37:55","__export__.res_users_77","2014-09-03 19:32:57","0.0125","0.01","Bigger than the reference Unit of Measure","pkg, 80","product.product_uom_categ_unit"
"__export__.product_uom_93","True","1.0","__export__.res_users_117","2015-03-13 22:06:12","__export__.res_users_117","2015-03-13 22:06:12","1.0","0.01","Reference Unit of Measure for this category","pkg, 9","__export__.product_uom_categ_6"
"product.product_uom_qt","True","0.946351342399","base.user_admin","2015-11-16 14:46:51","base.user_admin","2015-11-16 14:46:51","1.05669","0.01","Smaller than the reference Unit of Measure","qt","product.product_uom_categ_vol"
"__export__.product_uom_66","True","2.0","__export__.res_users_25","2014-07-08 19:25:50","__export__.res_users_77","2014-07-30 18:16:56","0.5","0.01","Smaller than the reference Unit of Measure","Reel, 0.5kg","product.product_uom_categ_kgm"
"__export__.product_uom_100","True","1.66666666667","__export__.res_users_25","2015-11-02 14:10:49","__export__.res_users_25","2015-11-02 14:11:03","0.6","0.01","Smaller than the reference Unit of Measure","Reel, 0.6kg","product.product_uom_categ_kgm"
"__export__.product_uom_71","True","1.33333333333","__export__.res_users_5","2014-09-19 14:33:02","__export__.res_users_117","2015-07-31 22:01:41","0.75","0.01","Smaller than the reference Unit of Measure","Reel, 0.75kg","product.product_uom_categ_kgm"
"__export__.product_uom_50","True","1.0","__export__.res_users_4","2013-01-21 06:00:21","__export__.res_users_4","2013-01-21 06:16:12","1.0","0.01","Smaller than the reference Unit of Measure","Reel, 1kg","product.product_uom_categ_kgm"
"__export__.product_uom_53","True","2.26796","__export__.res_users_5","2013-12-12 22:06:34","__export__.res_users_77","2014-07-30 18:17:37","0.440924884037","0.01","Bigger than the reference Unit of Measure","Reel, 5lb","product.product_uom_categ_kgm"
"product.product_uom_ton","True","907.1847","base.user_admin","2011-08-31 14:24:32","__export__.res_users_77","2014-07-30 18:18:01","0.00110231135953","0.01","Bigger than the reference Unit of Measure","tonne","product.product_uom_categ_kgm"
"__export__.product_uom_76","True","14.63","__export__.res_users_117","2014-10-13 14:30:57","__export__.res_users_77","2014-10-15 18:53:09","0.0683526999316","0.01","Bigger than the reference Unit of Measure","Yd, 16","product.uom_categ_length"
"__export__.product_uom_77","True","1.0","__export__.res_users_29","2014-10-28 21:16:55","__export__.res_users_29","2014-10-28 21:16:55","1.0","0.01","Reference Unit of Measure for this category","yd, 30","__export__.product_uom_categ_6"
"__export__.product_uom_91","True","1.0","__export__.res_users_117","2015-02-02 23:59:48","__export__.res_users_117","2015-02-03 00:00:38","1.0","0.01","Bigger than the reference Unit of Measure","yd, 6","__export__.product_uom_categ_6"
"__export__.product_uom_68","True","54.864","__export__.res_users_77","2014-08-01 17:54:55","__export__.res_users_77","2014-08-01 17:54:55","0.0182268883056","0.01","Bigger than the reference Unit of Measure","yd, 60","product.uom_categ_length"
"__export__.product_uom_73","True","65.8368","__export__.res_users_77","2014-10-06 14:26:45","__export__.res_users_77","2014-10-06 14:54:51","0.015189073588","0.01","Bigger than the reference Unit of Measure","Yd, 72","product.uom_categ_length"
